Rank,Title,Worldwide Revenue,Domestic Revenue,Foreign Revenue
1,The Super Mario Galaxy Movie,890003169,404954835,485048334
2,Pegasus 3,649899523,1374946,648524577
3,Project Hail Mary,641047767,320947767,320100000
4,Michael,443848975,199927348,243921627
5,Hoppers,371462840,165462840,206000000
6,The Devil Wears Prada 2,253245284,96645284,156600000
7,Wuthering Heights,241701072,84001072,157700000
8,Blades of the Guardians,215363913,1606672,213757241
9,Scream 7,207590331,121935967,85654364
10,Scare Out,200371064,0,200371064
11,GOAT,192016485,103316898,88699587
12,Dhurandhar: The Revenge,152939419,28100759,124838660
13,Boonie Bears: The Hidden Protector,139300000,0,139300000
14,The Drama,121175440,46948216,74227224
15,The King’s Warden,115398110,3574531,111823579
16,Send Help,94041481,64734795,29306686
17,Reminders of Him,88348006,48557890,39790116
18,Lee Cronin's The Mummy,82956151,28056151,54900000
19,Hamlet,78751812,300088,78451724
20,Crime 101,72858346,36588336,36270010
21,28 Years Later: The Bone Temple,58522553,25147583,33374970
22,Mercy,54709856,24390303,30319553
23,Shelter,53900217,12805541,41094676
24,Marsupilami,50311938,0,50311938
25,Detective Conan: Highway No Datenshi,50119644,0,50119644
26,Iron Lung,50036487,40851941,9184546
27,Return to Silent Hill,47533175,5544971,41988204
28,Greenland 2: Migration,44856736,17770308,27086428
29,Primate,39055779,25635665,13420114
30,Ready or Not 2: Here I Come,38964035,22985000,15979035
31,Torrente for President,32621037,0,32621037
32,The Magic Faraway Tree,28576339,0,28576339
33,The Tale of Tsar Saltan,28249425,0,28249425
34,Until We Meet Again,27553671,0,27553671
35,It's OK,26800000,0,26800000
36,Solo Mio,26308523,25731625,576898
37,Doraemon: Nobita and the New Castle of the Undersea Devil,25518497,0,25518497
38,The Bride!,23844025,12744025,11100000
39,Stray Kids: The dominATE Experience,23465818,7232818,16233000
40,EPiC: Elvis Presley in Concert,23463883,13571883,9892000
41,Extrawurst,21927663,0,21927663
42,"You, Me & Tuscany",21645134,18621835,3023299
43,Undertone,21324330,19971834,1352496
44,How to Make a Killing,20642986,7851600,12791386
45,They Will Kill You,18982152,10882152,8100000
46,I Can Only Imagine 2,18743959,18588615,155344
47,Salmokji: Whispering Water,18637007,0,18637007
48,Bunny!!,17475856,669093,16806763
49,Guru,16818082,0,16818082
50,Melania,16661439,16357453,303986
51,Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,15550664,0,15550664
52,Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,15069212,58276,15010936
53,The Three Investigators: Isle of Death,14784226,0,14784226
54,Kyojo: Requiem,14585945,0,14585945
55,Night King,14240018,0,14240018
56,"Ach, diese Lücke, diese entsetzliche Lücke",14134508,0,14134508
57,Svadba,13826557,0,13826557
58,Cosmic Princess Kaguya!,13564981,0,13564981
59,Humint,13207600,0,13207600
60,The Caged Butterfly,13100000,0,13100000
61,Your Heart Will Be Broken,12300059,0,12300059
62,Little Brownie Kuzya 2,11889391,0,11889391
63,Woodwalkers 2,11868004,0,11868004
64,Now I Met Her,10950000,0,10950000
65,The Strangers: Chapter 3,10789700,8560986,2228714
66,Just an Illusion,10660204,0,10660204
67,Hokum,10647998,8582415,2065583
68,Children of the Resistance,10518093,0,10518093
69,"Good Luck, Have Fun, Don't Die",9755038,8431443,1323595
70,The Money Maker,9412004,0,9412004
71,Gintama: Yoshiwara in Flames,9012399,0,9012399
72,Golden Kamuy: Assault on Abashiri Prison,8971729,0,8971729
73,Santiago: The Camino Therapy,8420921,0,8420921
74,The Lord of the Rings: The Return of the King 2026  Re-release,8412769,3971340,4418951
75,Top Gun: Maverick 2026 Re-release (40th Anniversary),8300794,0,8300794
76,Checker Tobi 3: Die heimliche Herrscherin der Erde,8017475,0,8017475
77,A Great Awakening,8016895,8016895,0
78,The Things Left Unspoken,7864546,0,7864546
79,LOL 2.0,7753402,0,7753402
80,Game Start,7750000,0,7750000
81,The Wizard of the Kremlin,7606980,0,7606980
82,Dear Parents,7596492,0,7596492
83,Horst Schlämmer Is Looking for Happiness,7376329,0,7376329
84,The Rays and Shadows,7354382,0,7354382
85,The Lord of the Rings: The Fellowship of the Ring 2026  Re-release,7116794,5940331,1121833
86,BTS WORLD TOUR 'ARIRANG' in GOYANG: LIVE VIEWING,6936152,2440000,4496152
87,Aida: The Movie,6226884,217000,6009884
88,Twenty One Pilots: More Than We Ever Imagined,5837953,4300000,1537953
89,Bendito Corazon,5794111,2997508,2796603
90,The American Dream,5746855,0,5746855
91,Vaazha II: Biopic of a Billion Bros,5688913,301888,5387025
92,The Lord of the Rings: The Two Towers 2026  Re-release,5527108,4093642,1433466
93,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,5499268,1176833,4322435
94,D.I.S.C.O.,5422937,0,5422937
95,Normal,5377471,4676231,701240
96,A Beautiful Day,5212581,0,5212581
97,Will You Be My Girlfriend?.,5180744,0,5180744
98,The Moment,5168044,3922708,1245336
99,Mother's Pride,5013663,0,5013663
100,Ooh La La 2,5007784,0,5007784
101,Blood Paradise,4856164,0,4856164
102,BTS WORLD TOUR 'ARIRANG' in JAPAN: LIVE VIEWING,4839090,1800000,3039090
103,Krasavitsa,4837163,0,4837163
104,City Boys: Golden Boyz,4832613,0,4832613
105,Streltsov,4807556,0,4807556
106,The Pout-Pout Fish,4805918,2925502,1880416
107,Whistle,4669421,1250972,3418449
108,Bhooth Bangla,4476125,1914032,2562093
109,The Frog Princess 2,4462696,0,4462696
110,Novaya tyoshcha,4408327,0,4408327
111,Nirvanna: The Band - The Show - The Movie,4395781,4044418,351363
112,Agata Christian: Crime on the Snow,4268352,0,4268352
113,Aadu 3,4237300,306973,3930327
114,A Room Called Home,4221826,0,4221826
115,Animal Farm,4155712,4155712,0
116,Cold Storage,4048606,1529234,2519372
117,A Gift from Heaven,3958093,0,3958093
118,L'infiltrée,3955702,0,3955702
119,A Place for Her,3949821,0,3949821
120,Societies by Accident,3921544,0,3921544
121,The Ogre's Bride,3913677,0,3913677
122,We Bury the Dead,3885965,3711918,174047
123,Assassination Classroom the Movie: Our Time,3865452,0,3865452
124,Pride & Prejudice 2026 Re-release,3811650,0,3811650
125,2026 Oscar Nominated Short Films,3754480,3754480,0
126,Ein fast perfekter Antrag,3751318,0,3751318
127,Le crime du 3e étage,3667140,0,3667140
128,Levsha,3610106,0,3610106
129,Dead Man's Wire,3550879,2236813,1314066
130,Abuela Tremenda,3549989,0,3549989
131,The Specials,3522441,0,3522441
132,Brawl,3489881,0,3489881
133,Bu Neng Cuo Guo De Zhi You Ni 2,3430000,0,3430000
134,Boulevard,3233004,13265,3219739
135,Les Légendaires,3226208,0,3226208
136,Malyshariki. Den rozhdeniya,3222170,0,3222170
137,Angels of War,3179189,0,3179189
138,Kardes Takimi 3,3169243,0,3169243
139,Kobikicho no Adauchi,3149067,0,3149067
140,Dragoste la tara,3127729,0,3127729
141,The King of My Love,3124420,0,3124420
142,One Last Love Letter,3024242,0,3024242
143,Calle Málaga,3015133,0,3015133
144,Fuze,3003282,1470051,1533231
145,Bitter Christmas,2981351,0,2981351
146,L'enfant du désert,2916354,0,2916354
147,Kommersant,2815414,0,2815414
148,Efes'in Sirri,2776604,0,2776604
149,Deep Water,2768652,2768652,0
150,Idols,2720584,0,2720584
151,ONE OK ROCK Detox Japan Tour 2025 at Nissan Stadium in Cinemas,2702565,0,2702565
152,Heaven: A Letter to My Mother,2694090,0,2694090
153,Kiki's Delivery Service 2026 Re-release,2688003,2664947,23056
154,Busboys,2651251,2607503,43748
155,Clika,2644377,2644377,0
156,Bershama,2631761,388104,2243657
157,Ceux qui comptent,2621705,0,2621705
158,H Is for Hawk,2614782,342239,2272543
159,Faces of Death,2609598,2609598,0
160,Rabb Da Radio 3,2557275,1854645,702630
161,Psycho Killer,2555070,2555070,0
162,My Space Dog,2543046,0,2543046
163,2 cuori e 2 capanne,2468613,0,2468613
164,Mother Mary,2454061,2319794,134267
165,Feels Like Home,2446990,0,2446990
166,Chimney Town: Frozen in Time,2439315,0,2439315
167,Forbidden Fruits,2434930,2322616,112314
168,Die Ältern,2433697,0,2433697
169,Band Together,2430922,0,2430922
170,Lavoreremo da grandi,2394150,0,2394150
171,Korol i Shut. Navsegda,2348476,0,2348476
172,Police Flash 80,2202655,0,2202655
173,I Was a Stranger,2152986,2008686,144300
174,The Golden K Award,2147654,0,2147654
175,Con Ke Ba Nghe,2131544,0,2131544
176,The Lord of the Rings: The Return of the King 2025 Re-release,2126201,1126085,997307
177,At Work,2106925,0,2106925
178,Il bene comune,2091770,0,2091770
179,2026 Oscar Nominated Short Films: Animation,2087582,2087582,0
180,Alter Ego,2061169,0,2061169
181,"Shinbi's Haunted House: 10th anniversary Movie: One more time, summoning",2057037,0,2057037
182,Over Your Dead Body,2055131,2055131,0
183,Border 2,2021266,0,2021266
184,Prendiamoci una pausa,2016401,0,2016401
185,The Snowball on a Sunny Day,2001702,0,2001702
186,Protector,1989760,1290170,699590
187,Audition 109,1987740,0,1987740
188,Maigret in Society,1977495,0,1977495
189,Milky Subway: The Galactic Limited Express to the Theater,1974753,0,1974753
190,Enhypen: Walk the Line Summer Edition - In Cinemas,1960970,1149451,811519
191,BE:the One - Start Beyond Dreams,1960818,0,1960818
192,Che Dio perdona a tutti,1957023,0,1957023
193,Catli,1939113,0,1939113
194,Hungarian Wedding,1893715,0,1893715
195,Tai,1854797,0,1854797
196,La familia Benetón +2,1851165,0,1851165
197,Mauvaise pioche,1831809,0,1831809
198,"Furcy, né libre",1805792,0,1805792
199,Be Gentle with Yourself,1803124,0,1803124
200,O' Romeo,1795940,0,1795940
